,Year,Country,Population,GDP
690,1965,SGP,1886900.0,974650463.9
691,1965,SLE,2508219.0,359379856.2
692,1965,PNG,2485437.0,344159480.3
693,1965,AFG,9956320.0,1006666638
694,1965,YEM,5727751.0,..
695,1965,MDA,2825000.0,..
696,1965,SRB,..,..
697,1965,CAF,1639706.0,150574816.3
698,1965,BIH,3535643.0,..
699,1965,GUM,74830.0,..
700,1965,SVK,4370983.0,..
701,1965,THA,31822660.0,4388937649.0
702,1965,TLS,519686.0,..
703,1965,GAB,533361.0,226474285.6
704,1965,SMR,17513.0,..
705,1965,LAO,2382594.0,..
706,1965,KOR,28704674.0,3120495495.0
707,1965,PRK,12547525.0,..
708,1965,MOZ,8039215.0,..
709,1965,SEN,3682876.0,1210058396
710,1965,CPV,230418.0,..
711,1965,CZE,9779358.0,..
712,1965,BOL,4038872.0,604377104.4
713,1965,AND,18549.0,..
714,1965,HKG,3597900.0,2435078534.0
715,1965,LCA,96134.0,..
716,1965,FSM,52227.0,..
717,1965,COD,17369883.0,4043901818
718,1965,MLI,5568484.0,..
719,1965,STP,64892.0,..
720,1965,MKD,1592433.0,..
721,1965,LIE,18649.0,..
722,1965,MNE,526327.0,..
723,1965,ALB,1864791.0,..
724,1965,SWZ,373919.0,70278594.43
725,1965,BDI,3094379.0,158994963.0
726,1965,NRU,5856.0,..
727,1965,VNM,37858951.0,..
728,1965,MHL,17284.0,..
729,1965,KIR,46429.0,..
730,1965,TUV,5386.0,..
731,1965,SSD,3133150.0,..
732,1966,CHN,735400000.0,76720285970.0
733,1966,FIN,4580869.0,9208524505.0
734,1966,ROU,19215450.0,..
735,1966,NOR,3753012.0,8696460205.0
736,1966,EST,1308597.0,..
737,1966,FRA,50330262.0,111000000000.0
738,1966,ESP,32283194.0,28721062242.0
739,1966,EGY,31237600.0,5278005612
